time,sinr_db,min_dist_m,throughput_bytes_rx
0,5.1327,1916744.9374,0
1,5.1478,1916044.7979,0
2,5.1868,1915351.4885,0
3,5.3055,1914683.4342,0
4,5.3575,1914039.8383,747520
5,5.3679,1913411.5695,788480
6,5.3357,1912808.1735,788480
7,5.3013,1912215.9565,788480
8,5.2151,1911652.5524,793600
9,5.1804,1911108.2578,886784
10,5.0969,1910579.1241,984064
11,5.0322,1910074.9893,1036288
12,4.9021,1909587.9731,1003520
13,4.7960,1909124.1378,978944
14,4.6680,1908677.4321,944128
15,4.7958,1908253.8149,964608
16,4.9476,1907843.4468,931840
17,5.0759,1907460.3092,995328
18,5.2481,1907096.1777,909312
19,5.3724,1906757.1313,910336
20,5.4772,1906427.4186,829440
21,5.4772,1906129.0049,865280
22,5.4772,1905839.9742,785408
23,5.4772,1905574.1166,700416
24,5.4772,1905333.4223,567296
25,5.4772,1905117.9006,498688
26,5.4772,1904911.7533,366592
27,5.4772,1904730.7823,299008
28,5.4772,1904572.9931,194560
29,5.4772,1904430.9840,194560
30,5.4772,1904315.1327,194560
31,5.4772,1904209.7143,194560
32,5.4772,1904134.8439,194560
33,5.4772,1904077.8558,202752
34,5.4772,1904044.0839,342016
35,5.4772,1904019.6876,375808
36,5.4772,1904027.7409,368640
37,5.4772,1904053.7646,380928
38,5.4772,1904089.1424,388096
39,5.4772,1904161.5404,390144
40,5.4772,1904245.3047,392192
41,5.4772,1904347.1686,394240
42,5.4772,1904472.5525,393216
43,5.4772,1904620.7715,392192
44,5.4772,1904787.4010,386048
45,5.4772,1904972.2003,385024
46,5.4772,1905173.2971,384000
47,5.4772,1905404.3878,379904
48,5.4772,1905653.7465,379904
49,5.4772,1905919.2823,378880
50,5.4772,1906209.9820,378880
51,5.4772,1906518.8391,379904
52,5.4772,1906850.7270,376832
53,5.4772,1907198.8355,379904
54,5.4772,1907565.2872,433152
55,5.4772,1907961.5594,624640
56,5.4772,1908369.0751,566272
57,5.4772,1908801.6527,588800
58,5.4772,1909257.2061,519168
59,5.4772,1909721.8885,654336
60,5.4772,1910218.7947,669696
61,5.4772,1910731.4230,678912
62,5.4772,1911261.7515,761856
63,5.4772,1911815.6644,901120
64,5.4772,1912387.2385,1006592
65,5.4772,1912975.1677,1092608
66,5.4772,1913588.0294,1070080
67,5.4772,1914230.1340,1197056
68,5.4772,1914876.8827,1188864
69,5.4772,1915554.8559,1188864
70,5.4772,1916247.1110,1193984
71,5.4772,1916966.2578,1211392
72,5.4772,1917692.2370,1325056
73,5.4772,1918445.0611,1113088
74,5.4772,1919218.4414,1227776
75,5.4772,1920016.5197,1270784
76,5.4772,1920831.6749,1158144
77,5.4772,1921663.1926,1264640
78,5.4772,1922519.3234,1154048
79,5.4772,1923391.8613,1379328
80,5.4772,1924281.3216,1538048
81,5.4772,1925193.2140,1575936
82,5.4772,1926129.5939,1605632
83,5.4772,1927074.6188,1382400
84,5.4772,1928057.7799,1515520
85,5.4772,1929043.6109,1508352
86,5.4772,1930057.6441,1426432
87,5.4772,1931082.3041,1156096
88,5.4772,1932139.1052,940032
89,5.4772,1933210.2328,1024000
90,5.4772,1934299.7983,831488
91,5.4772,1935409.3248,718848
92,5.4772,1936537.3505,646144
93,5.4772,1937687.3049,599040
94,5.4772,1938847.6835,545792
95,5.4772,1940037.9972,403456
96,5.4772,1941242.2298,400384
97,5.4772,1942470.4052,399360
98,5.4772,1943716.9362,399360
99,5.4772,1944985.2856,397312
100,5.4772,1946261.8272,395264
101,5.4772,1947567.6592,466944
102,5.4772,1948891.7944,406528
103,5.4772,1950229.4249,476160
104,5.4772,1951583.2518,464896
105,5.4772,1952966.0805,573440
106,5.4772,1954365.0668,382976
107,5.4772,1955774.1035,329728
108,5.4772,1957220.1750,324608
109,5.4772,1958674.1306,348160
110,5.4772,1960141.1457,375808
111,5.4772,1961634.6442,340992
112,5.4772,1963146.2570,354304
113,5.4772,1964676.0005,331776
114,5.4772,1966218.5458,357376
115,5.4772,1967787.5741,254976
116,5.4772,1969374.3397,259072
117,5.4772,1970970.7452,372736
118,5.4772,1972591.5591,437248
119,5.4772,1974231.9046,479232
120,5.4772,1975888.1765,480256
121,5.4772,1977567.3513,483328
122,5.4772,1979267.3023,483328
123,5.4772,1980976.7101,482304
124,5.4772,1982706.8067,475136
125,5.4772,1984451.0493,479232
126,5.4772,1986224.4024,477184
127,5.4772,1988007.0544,493568
128,5.4772,1989810.1928,634880
129,5.4772,1991625.1441,833536
130,5.4772,1993473.1804,944128
131,5.4772,1995326.2448,1197056
132,5.4772,1997201.6436,1231872
133,5.4772,1999090.6329,1241088
134,5.4772,2000995.2604,1220608
135,5.4772,2002926.5258,1357824
136,5.4772,2004873.3687,1356800
137,5.4772,2006835.8187,1264640
138,5.4772,2008815.9339,1286144
139,5.4772,2010813.6002,1355776
140,5.4772,2012822.3320,1357824
141,5.4772,2014859.6323,1326080
142,5.4772,2016905.6237,1309696
143,5.4772,2018973.3437,1271808
144,5.4772,2021051.8528,1263616
145,5.4772,2023149.9094,1257472
146,5.4772,2025265.3346,1238016
147,5.4772,2027400.2407,1212416
148,5.4772,2029547.6794,1209344
149,5.4772,2031725.3763,1209344
150,5.4772,2033898.4650,1214464
151,5.4772,2036107.7458,1214464
152,5.4772,2038323.2370,1215488
153,5.4772,2040553.8964,1231872
154,5.4772,2042809.5636,1271808
155,5.4772,2045080.3290,1290240
156,5.4772,2047363.0497,1586176
157,5.4772,2049660.8295,1472512
158,5.4772,2051974.2265,1302528
159,5.4772,2054311.6359,1222656
160,5.4772,2056660.7108,1228800
161,5.4772,2059024.7338,1108992
162,5.4772,2061403.9687,1017856
163,5.4772,2063807.1541,842752
