time,delay_sec
3.04422,0.0292237
3.04423,0.0242258
3.04423,0.0192278
3.04823,0.0132265
3.0513,0.0163021
3.05324,0.0132427
3.05432,0.0143161
3.05823,0.0132277
3.0593,0.0143012
3.06824,0.0132374
3.06929,0.0142884
3.07324,0.0132394
3.07427,0.0142678
3.07436,0.0193586
3.07436,0.0143606
3.07546,0.0204622
3.07546,0.0154642
3.0783,0.0133036
3.07846,0.0134641
3.07929,0.0142925
3.07936,0.0143604
3.08324,0.0132434
3.08343,0.0134266
3.08429,0.0142861
3.08435,0.0143539
3.08825,0.0132454
3.08845,0.0134513
3.08928,0.0142797
3.08935,0.0143475
3.09326,0.0132616
3.09344,0.013445
3.09427,0.0142733
3.09434,0.014341
3.09825,0.0132466
3.09846,0.0134612
3.09929,0.0142895
3.09936,0.0143572
3.10323,0.0132317
3.10345,0.0134464
3.10427,0.0142746
3.10434,0.0143422
3.10825,0.0132478
3.10846,0.0134626
3.10929,0.0142908
3.10936,0.0143584
3.11323,0.0132329
3.11345,0.0134478
3.11428,0.014276
3.11434,0.0143435
3.11825,0.0132491
3.11846,0.013464
3.1193,0.0143006
3.11937,0.0143681
3.12324,0.0132426
3.12345,0.0134492
3.12429,0.0142858
3.12435,0.0143532
3.12826,0.0132588
3.12847,0.0134654
3.1293,0.014302
3.12937,0.0143694
3.13324,0.0132438
3.13345,0.0134506
3.13429,0.0142871
3.13435,0.0143544
3.13826,0.01326
3.13844,0.0134357
3.1393,0.0143033
3.13934,0.0143395
3.14325,0.013245
3.14345,0.013452
3.14429,0.0142885
3.14436,0.0143557
3.14826,0.0132612
3.14844,0.0134372
3.1493,0.0143047
3.14934,0.0143407
3.15325,0.0132463
3.15345,0.0134534
3.15429,0.0142898
3.15436,0.0143569
3.15826,0.0132624
3.15844,0.0134386
3.15931,0.0143061
3.15934,0.014342
3.16436,0.0143582
3.16824,0.013241
3.16843,0.0134258
3.16929,0.0142932
3.16933,0.0143291
3.17324,0.013243
3.17347,0.0134675
3.1743,0.0143038
3.17437,0.0143706
3.17831,0.0133072
3.17843,0.01343
3.17927,0.0142662
3.17933,0.0143331
3.18325,0.013247
3.18345,0.0134547
3.18429,0.0142909
3.18436,0.0143577
3.18825,0.013249
3.18845,0.0134483
3.18928,0.0142845
3.18935,0.0143513
3.19323,0.0132341
3.19344,0.0134419
3.19428,0.0142781
3.19434,0.0143448
3.19825,0.0132502
3.19843,0.0134271
3.19926,0.0142632
3.19933,0.0143299
3.20324,0.0132353
3.20344,0.0134433
3.20428,0.0142795
3.20435,0.014346
3.20825,0.0132514
3.20843,0.0134285
3.20926,0.0142646
3.20933,0.0143311
3.21324,0.0132365
3.21344,0.0134447
3.21428,0.0142808
3.21435,0.0143473
3.21825,0.0132527
3.21843,0.0134299
3.21927,0.0142744
3.21934,0.0143408
3.22325,0.0132462
3.22345,0.0134462
3.22429,0.0142906
3.22436,0.014357
3.22823,0.0132313
3.22843,0.0134313
3.22928,0.0142758
3.22934,0.0143421
3.23325,0.0132474
3.23345,0.0134476
3.23429,0.014292
3.23436,0.0143582
3.23823,0.0132325
3.23843,0.0134327
3.23928,0.0142771
3.23934,0.0143433
3.24325,0.0132486
3.24345,0.013449
3.24429,0.0142933
3.24436,0.0143595
3.24823,0.0132337
3.24843,0.0134341
3.24928,0.0142785
3.24934,0.0143445
3.25325,0.0132499
3.25342,0.0134193
3.25429,0.0142947
3.25433,0.0143296
3.25823,0.0132349
3.25844,0.0134355
3.25928,0.0142798
3.25935,0.0143458
3.26433,0.0143309
3.26824,0.0132446
3.26845,0.0134539
3.2693,0.0142981
3.26936,0.014364
3.27325,0.0132466
3.27343,0.0134333
3.27431,0.0143086
3.27434,0.0143433
3.27831,0.0133108
3.27846,0.013458
3.2793,0.0143022
3.27937,0.014368
3.28325,0.0132506
3.28345,0.0134517
3.2843,0.0142958
3.28433,0.0143304
3.28822,0.0132215
3.28845,0.0134453
3.28929,0.0142894
3.28936,0.014355
3.29324,0.0132377
3.29344,0.0134389
3.29431,0.0143141
3.29435,0.0143486
3.29822,0.0132227
3.29846,0.0134552
3.2993,0.0142992
3.29936,0.0143648
3.30324,0.0132389
3.30344,0.0134403
3.30428,0.0142843
3.30435,0.0143498
3.30822,0.0132239
3.30846,0.0134566
3.3093,0.0143006
3.30937,0.014366
3.31324,0.0132401
3.31344,0.0134417
3.31429,0.0142857
3.31435,0.0143511
3.31823,0.0132252
3.31846,0.013458
3.31931,0.0143104
3.31938,0.0143757
3.32325,0.0132498
3.32344,0.0134431
3.3243,0.0142955
3.32436,0.0143608
3.32823,0.0132348
3.32846,0.0134594
3.32931,0.0143117
3.32938,0.014377
3.33325,0.013251
3.33344,0.0134445
3.3343,0.0142968
3.33436,0.014362
3.33824,0.0132361
3.33846,0.0134608
3.33931,0.0143131
3.33938,0.0143782
3.34322,0.0132211
3.34345,0.0134459
3.3443,0.0142982
3.34436,0.0143633
3.34824,0.0132373
3.34846,0.0134622
3.34931,0.0143144
3.34938,0.0143794
3.35322,0.0132224
3.35345,0.0134473
3.3543,0.0142996
3.35436,0.0143645
3.35824,0.0132385
3.35846,0.0134636
3.35932,0.0143158
3.35938,0.0143807
3.36437,0.0143658
3.36825,0.0132482
3.36848,0.013482
3.3693,0.014303
3.36937,0.0143678
3.37322,0.0132191
3.37346,0.0134614
3.37428,0.0142824
3.37435,0.0143471
3.37831,0.0133144
3.37842,0.0134239
3.37931,0.0143071
3.37934,0.0143407
3.38322,0.0132231
3.38345,0.0134486
3.3843,0.0143007
3.38437,0.0143653
3.38826,0.0132562
3.38844,0.0134422
3.38929,0.0142943
3.38933,0.0143277
3.39324,0.0132412
3.39347,0.013467
3.39429,0.0142878
3.39435,0.0143524
3.39826,0.0132574
3.39845,0.0134521
3.3993,0.0143041
3.39934,0.0143374
3.40324,0.0132425
3.40347,0.0134684
3.40429,0.0142892
3.40435,0.0143536
3.40826,0.0132586
3.40845,0.0134535
3.40931,0.0143054
3.40934,0.0143387
3.41324,0.0132437
3.41347,0.0134698
3.41429,0.0142905
3.41435,0.0143549
3.41826,0.0132599
3.41845,0.0134549
3.41928,0.0142841
3.41935,0.0143484
3.42322,0.0132223
3.42347,0.0134712
3.4243,0.0143004
3.42436,0.0143646
3.42824,0.0132384
3.42846,0.0134563
3.42929,0.0142855
3.42935,0.0143496
3.43322,0.0132235
3.43347,0.0134726
3.4343,0.0143017
3.43437,0.0143658
3.43824,0.0132397
3.43846,0.0134578
3.43929,0.0142868
3.43935,0.0143509
3.44322,0.0132247
3.44347,0.013474
3.4443,0.0143031
3.44437,0.0143671
3.44824,0.0132409
3.44846,0.0134592
3.44929,0.0142882
3.44935,0.0143521
3.45323,0.013226
3.45348,0.0134754
3.4543,0.0143044
3.45437,0.0143683
3.45821,0.013211
3.45846,0.0134606
3.45929,0.0142895
3.45935,0.0143534
3.46437,0.0143695
3.46822,0.0132207
3.46845,0.0134478
3.46928,0.0142767
3.46934,0.0143404
3.47325,0.0132538
3.47346,0.0134584
3.47429,0.0142872
3.47435,0.0143509
3.47829,0.0132869
3.47845,0.013452
3.47928,0.0142808
3.47934,0.0143445
3.48323,0.0132267
3.48348,0.0134767
3.48431,0.0143055
3.48437,0.0143691
3.48823,0.0132287
3.48844,0.0134392
3.4893,0.0142991
3.48936,0.0143626
3.49324,0.0132448
3.49343,0.0134328
3.49429,0.0142927
3.49433,0.0143251
3.49823,0.0132299
3.49845,0.0134491
3.49928,0.0142778
3.49934,0.0143412
3.50325,0.0132461
3.50343,0.0134342
3.50429,0.0142941
3.50433,0.0143263
3.50823,0.0132311
3.50845,0.0134505
3.50928,0.0142792
3.50934,0.0143425
3.51325,0.0132473
3.51344,0.0134357
3.5143,0.0142954
3.51433,0.0143275
3.51823,0.0132324
3.51845,0.0134519
3.51929,0.014289
3.51935,0.0143522
3.52326,0.013257
3.52344,0.0134371
3.52431,0.0143052
3.52434,0.0143373
3.52824,0.013242
3.52845,0.0134533
3.52929,0.0142904
3.52935,0.0143534
3.53326,0.0132582
3.53344,0.0134385
3.53428,0.0142755
3.53434,0.0143385
3.53824,0.0132433
3.53845,0.0134547
3.53929,0.0142917
3.53935,0.0143547
3.54326,0.0132594
3.54344,0.0134399
3.54428,0.0142768
3.54434,0.0143397
3.54824,0.0132445
3.54846,0.0134561
3.54929,0.0142931
3.54936,0.0143559
3.55326,0.0132607
3.55344,0.0134413
3.55428,0.0142782
3.55434,0.014341
3.55825,0.0132457
3.55846,0.0134575
3.55929,0.0142944
3.55936,0.0143572
3.56434,0.0143422
3.56822,0.0132243
3.56848,0.0134759
3.56931,0.0143127
3.56938,0.0143753
3.57326,0.0132574
3.57346,0.0134553
3.57429,0.0142921
3.57435,0.0143547
3.57829,0.0132905
3.57848,0.0134801
3.57932,0.0143168
3.57938,0.0143794
3.58323,0.0132303
3.58344,0.0134426
3.58428,0.0142793
3.58434,0.0143418
3.58823,0.0132323
3.58847,0.0134673
3.5893,0.014304
3.58937,0.0143664
3.59322,0.0132173
3.59346,0.0134609
3.5943,0.0142976
3.59436,0.01436
3.59823,0.0132335
3.59848,0.0134772
3.59931,0.0143138
3.59938,0.0143761
3.60322,0.0132186
3.60346,0.0134623
3.6043,0.0142989
3.60436,0.0143612
3.60823,0.0132347
3.60845,0.0134475
3.60932,0.0143152
3.60935,0.0143463
3.61322,0.0132198
3.61346,0.0134637
3.6143,0.0143003
3.61436,0.0143624
3.61824,0.013236
3.61845,0.0134489
3.61929,0.0142939
3.61932,0.0143249
3.62323,0.0132295
3.62347,0.0134651
3.62428,0.014279
3.62434,0.0143411
3.62825,0.0132456
3.62845,0.0134503
3.6293,0.0142952
3.62933,0.0143261
3.63323,0.0132307
3.63347,0.0134665
3.63428,0.0142803
3.63434,0.0143423
3.63825,0.0132469
3.63845,0.0134517
3.6393,0.0142966
3.63933,0.0143274
3.64323,0.0132319
3.64347,0.0134679
3.64428,0.0142817
3.64434,0.0143435
3.64825,0.0132481
3.64845,0.0134531
3.64927,0.0142668
3.64933,0.0143286
3.65323,0.0132331
3.65347,0.0134694
3.65428,0.014283
3.65434,0.0143448
3.65825,0.0132493
3.65845,0.0134545
3.65927,0.0142682
3.65933,0.0143299
3.66435,0.014346
3.66826,0.013259
3.66844,0.0134417
3.66929,0.0142865
3.66935,0.014348
3.67323,0.0132299
3.67345,0.0134523
3.6743,0.014297
3.67436,0.0143585
3.67833,0.0133252
3.67845,0.0134459
3.67929,0.0142906
3.67935,0.014352
3.68323,0.0132339
3.68347,0.0134706
3.68432,0.0143153
3.68438,0.0143767
3.68824,0.0132359
3.68846,0.0134643
3.68928,0.0142778
3.68934,0.0143391
3.69322,0.0132209
3.69346,0.0134579
3.6943,0.0143024
3.69436,0.0143638
3.69821,0.013206
3.69844,0.013443
3.69929,0.0142876
3.69935,0.0143488
3.70322,0.0132222
3.70346,0.0134593
3.7043,0.0143038
3.70437,0.014365
3.70821,0.0132072
3.70844,0.0134444
3.70929,0.0142889
3.70935,0.0143501
3.71322,0.0132234
3.71346,0.0134607
3.71431,0.0143051
3.71437,0.0143662
3.71821,0.0132084
3.71845,0.0134458
3.7193,0.0142987
3.71936,0.0143598
3.72323,0.0132331
3.72343,0.013431
3.72431,0.014315
3.72434,0.0143449
3.72822,0.0132181
3.72845,0.0134473
3.7293,0.0143001
3.72936,0.014361
3.73323,0.0132343
3.73343,0.0134324
3.73432,0.0143163
3.73435,0.0143461
3.73822,0.0132194
3.73845,0.0134487
3.7393,0.0143014
3.73936,0.0143623
3.74324,0.0132355
3.74343,0.0134338
3.74432,0.0143177
3.74435,0.0143473
3.74822,0.0132206
3.74845,0.0134501
3.7493,0.0143028
3.74936,0.0143635
3.75324,0.0132367
3.75344,0.0134352
3.75432,0.014319
3.75435,0.0143486
3.75822,0.0132218
3.75845,0.0134515
3.7593,0.0143041
3.75936,0.0143648
3.76435,0.0143498
3.76823,0.0132315
3.76847,0.0134698
3.76929,0.0142913
3.76935,0.0143518
3.77323,0.0132335
3.77345,0.0134493
3.77427,0.0142707
3.77433,0.0143312
3.77833,0.0133288
3.77847,0.013474
3.7793,0.0142954
3.77936,0.0143558
3.78324,0.0132375
3.78347,0.0134676
3.78429,0.014289
3.78435,0.0143494
3.78824,0.0132395
3.78846,0.0134612
3.78931,0.0143137
3.78937,0.014374
3.79326,0.0132556
3.79345,0.0134548
3.79428,0.0142762
3.79434,0.0143364
3.79824,0.0132407
3.79847,0.0134711
3.79929,0.0142924
3.79935,0.0143526
3.80326,0.0132569
3.80346,0.0134563
3.80428,0.0142776
3.80434,0.0143377
3.80824,0.0132419
3.80847,0.0134725
3.80929,0.0142938
3.80935,0.0143539
3.81323,0.013227
3.81346,0.0134577
3.81428,0.0142789
3.81434,0.0143389
3.81824,0.0132431
3.81847,0.0134739
3.8193,0.0143036
3.81936,0.0143636
3.82321,0.0132056
3.82346,0.0134591
3.82429,0.0142887
3.82435,0.0143486
3.82822,0.0132217
3.82848,0.0134753
3.8293,0.014305
3.82936,0.0143648
3.83321,0.0132068
3.83346,0.0134605
3.83429,0.0142901
3.83435,0.0143499
3.83822,0.013223
3.83848,0.0134767
3.83931,0.0143063
3.83937,0.0143661
3.84321,0.013208
3.84346,0.0134619
3.84429,0.0142914
3.84435,0.0143511
3.84822,0.0132242
3.84845,0.013447
3.84931,0.0143077
3.84934,0.0143362
3.85321,0.0132092
3.85346,0.0134633
3.85429,0.0142928
3.85435,0.0143524
3.85823,0.0132254
3.85845,0.0134484
3.85931,0.014309
3.85934,0.0143374
3.86435,0.0143536
3.86824,0.0132351
3.86844,0.0134357
3.86933,0.0143273
3.86936,0.0143556
3.87324,0.0132371
3.87348,0.0134773
3.87431,0.0143067
3.87437,0.0143661
3.8783,0.0133013
3.87844,0.0134399
3.8793,0.0143003
3.87933,0.0143285
3.88324,0.0132411
3.88346,0.0134646
3.88429,0.0142939
3.88435,0.0143532
3.88824,0.0132431
3.88846,0.0134582
3.88929,0.0142875
3.88935,0.0143467
3.89323,0.0132281
3.89348,0.0134829
3.89431,0.0143122
3.89437,0.0143713
3.89824,0.0132443
3.89847,0.0134681
3.8993,0.0142973
3.89936,0.0143564
3.90323,0.0132294
3.90348,0.0134843
3.90431,0.0143135
3.90437,0.0143726
3.90825,0.0132455
3.90847,0.0134695
3.9093,0.0142987
3.90936,0.0143577
3.91323,0.0132306
3.91349,0.0134857
3.91431,0.0143149
3.91437,0.0143738
3.91825,0.0132467
3.91847,0.0134709
3.91928,0.0142774
3.91934,0.0143363
3.92324,0.0132403
3.92349,0.0134872
3.92429,0.0142936
3.92435,0.0143524
3.92823,0.0132253
3.92847,0.0134723
3.92928,0.0142787
3.92934,0.0143375
3.93324,0.0132415
3.93349,0.0134886
3.93429,0.014295
3.93435,0.0143537
3.93823,0.0132266
3.93847,0.0134737
3.93928,0.0142801
3.93934,0.0143388
3.94324,0.0132427
3.94349,0.01349
3.9443,0.0142963
3.94435,0.0143549
3.94823,0.0132278
3.94848,0.0134751
3.94928,0.0142814
3.94934,0.01434
3.95324,0.0132439
3.95349,0.0134914
3.9543,0.0142977
3.95436,0.0143562
3.95823,0.013229
3.95848,0.0134765
3.95928,0.0142828
3.95934,0.0143412
3.96433,0.0143263
3.96824,0.0132387
3.96846,0.0134638
3.9693,0.0143011
3.96936,0.0143594
3.97324,0.0132407
3.97344,0.0134432
3.97431,0.0143116
3.97434,0.0143388
3.9783,0.0133049
3.97847,0.0134679
3.97931,0.0143052
3.97936,0.0143634
3.98324,0.0132447
3.98346,0.0134615
3.9843,0.0142988
3.98433,0.0143259
3.98822,0.0132156
3.98846,0.0134552
3.98929,0.0142924
3.98935,0.0143505
3.99323,0.0132317
3.99345,0.0134488
3.99432,0.0143171
3.99434,0.014344
3.99822,0.0132168
3.99847,0.013465
3.9993,0.0143022
3.99936,0.0143602
4.00323,0.013233
4.00345,0.0134502
4.00429,0.0142873
4.00435,0.0143453
4.00822,0.013218
4.00847,0.0134665
4.0093,0.0143035
4.00936,0.0143615
4.01323,0.0132342
4.01345,0.0134516
4.01429,0.0142887
4.01435,0.0143465
4.01822,0.0132192
4.01847,0.0134679
4.01931,0.0143134
4.01937,0.0143712
4.02324,0.0132439
4.02345,0.013453
4.0243,0.0142985
4.02436,0.0143562
4.02823,0.0132289
4.02847,0.0134693
4.02931,0.0143147
4.02937,0.0143724
4.03325,0.0132451
4.03345,0.0134544
4.0343,0.0142998
4.03436,0.0143575
4.03823,0.0132302
4.03847,0.0134707
4.03932,0.0143161
4.03937,0.0143737
4.04325,0.0132463
4.04346,0.0134558
4.0443,0.0143012
4.04436,0.0143587
4.04823,0.0132314
4.04847,0.0134721
4.04932,0.0143174
4.04937,0.0143749
4.05322,0.0132164
4.05346,0.0134572
4.0543,0.0143025
4.05436,0.01436
4.05823,0.0132326
4.05847,0.0134735
4.05932,0.0143188
4.05938,0.0143762
