time_sec,fading_linear
0.0644316,2.44938
0.0695101,2.46104
0.114402,2.38461
0.164395,1.85608
0.169505,1.81164
0.214428,1.43039
0.264421,1.23368
0.26953,1.19164
0.314422,1.06045
0.364415,0.857853
0.369494,0.815188
0.414448,0.785697
0.464441,0.830026
0.46952,0.875512
0.514412,1.15023
0.564405,1.37871
0.569514,1.42104
0.614437,1.54054
0.66443,1.23259
0.669509,1.20963
0.714432,1.21518
0.764425,1.04922
0.769503,1.03806
0.814458,0.993296
0.864451,0.929173
0.869498,0.905916
0.914421,0.858833
0.964414,0.950502
0.969524,0.9483
1.01445,1.08683
1.06444,1.42683
1.06949,1.461
1.11444,1.40945
1.16443,1.29848
1.16951,1.32688
1.21444,1.1852
1.26446,1.14145
1.26951,1.11734
1.31446,1.06049
1.36445,0.94591
1.3695,0.946134
1.41443,1.02931
1.46445,1.05521
1.4695,1.0595
1.51445,1.19161
1.56444,1.46942
1.56952,1.43469
1.61445,1.43536
1.66447,1.36501
1.66952,1.3929
1.71447,1.26633
1.76446,1.07788
1.76951,1.09383
1.81443,0.9213
1.86446,0.883397
1.86951,0.886685
1.91446,0.741551
1.96445,0.6863
1.9695,0.783925
2.01446,1.10142
2.06448,1.27405
2.06953,1.3057
2.11448,1.32564
2.16447,1.17024
2.16949,1.1741
2.21444,0.996183
2.26444,0.842105
2.26952,0.898841
2.31447,0.929075
2.36446,0.841301
2.36951,0.885753
2.41446,1.1212
2.46446,1.17357
2.46951,1.21411
2.51449,1.2187
2.56448,1.10661
2.5695,1.09431
2.61445,1.21723
2.66448,1.08864
2.66953,1.04399
2.71448,1.08602
2.76447,1.25552
2.76952,1.24732
2.81447,1.15745
2.86447,0.961462
2.86952,0.919916
2.9145,0.905383
2.96449,0.941062
2.96951,0.970798
3.0145,1.21472
3.06449,1.32067
3.06954,1.33829
3.11449,1.31525
3.16448,1.1097
3.16953,1.07245
3.21448,1.03085
3.23148,1.07123
3.23447,1.02587
3.24449,0.900155
3.25449,0.908901
3.26448,0.914537
3.2695,0.888493
3.31448,0.849713
3.36451,0.937152
3.36952,0.928048
3.41451,0.701315
3.4245,0.721878
3.43449,0.764601
3.44452,0.718367
3.45451,0.67357
3.4645,0.686014
3.46952,0.689303
3.51447,0.638717
3.56447,0.917131
3.56951,0.955763
3.6145,1.01878
3.62449,0.923582
3.63449,0.972136
3.64448,0.985784
3.6545,0.90356
3.6645,0.922342
3.66951,0.964965
3.7145,0.762599
3.76449,0.521983
3.76954,0.520511
