time,sat_id,x,y,z
0.1,0,-2.29969e+06,6.31799e+06,3.47003e+06
0.1,1,-3.41727e+06,6.29663e+06,2.43793e+06
0.1,2,-4.39688e+06,6.02082e+06,1.3072e+06
0.1,3,-2.995e+06,6.1415e+06,3.25014e+06
0.1,4,-4.07735e+06,5.98693e+06,2.1922e+06
0.1,5,-4.99505e+06,5.59043e+06,1.04558e+06
0.1,6,-3.06998e+06,5.93989e+06,3.54092e+06
0.1,7,-4.70068e+06,5.60456e+06,1.94202e+06
0.1,8,-3.97938e+06,5.63562e+06,3.10786e+06
0.1,9,-5.46019e+06,5.03985e+06,1.44055e+06
1.1,0,-2.30481e+06,6.31867e+06,3.46542e+06
1.1,1,-3.42183e+06,6.29616e+06,2.43274e+06
1.1,2,-4.40071e+06,6.01923e+06,1.30165e+06
1.1,3,-3.00003e+06,6.14157e+06,3.24537e+06
1.1,4,-4.0817e+06,5.9859e+06,2.1869e+06
1.1,5,-4.99856e+06,5.58835e+06,1.03997e+06
1.1,6,-3.07519e+06,5.93992e+06,3.53635e+06
1.1,7,-4.70476e+06,5.60301e+06,1.93664e+06
1.1,8,-3.98427e+06,5.63485e+06,3.10301e+06
1.1,9,-5.46373e+06,5.0376e+06,1.43503e+06
2.1,0,-2.30993e+06,6.31934e+06,3.46079e+06
2.1,1,-3.4264e+06,6.29569e+06,2.42754e+06
2.1,2,-4.40453e+06,6.01764e+06,1.29609e+06
2.1,3,-3.00506e+06,6.14164e+06,3.24061e+06
2.1,4,-4.08606e+06,5.98487e+06,2.18161e+06
2.1,5,-5.00206e+06,5.58627e+06,1.03437e+06
2.1,6,-3.0804e+06,5.93995e+06,3.53178e+06
2.1,7,-4.70884e+06,5.60145e+06,1.93126e+06
2.1,8,-3.98915e+06,5.63407e+06,3.09816e+06
2.1,9,-5.46726e+06,5.03536e+06,1.42951e+06
3.1,0,-2.31504e+06,6.32e+06,3.45617e+06
3.1,1,-3.43096e+06,6.29522e+06,2.42235e+06
3.1,2,-4.40836e+06,6.01605e+06,1.29053e+06
3.1,3,-3.01009e+06,6.1417e+06,3.23584e+06
3.1,4,-4.09041e+06,5.98384e+06,2.17632e+06
3.1,5,-5.00556e+06,5.58418e+06,1.02876e+06
3.1,6,-3.0856e+06,5.93998e+06,3.5272e+06
3.1,7,-4.71291e+06,5.59989e+06,1.92587e+06
3.1,8,-3.99404e+06,5.63329e+06,3.0933e+06
3.1,9,-5.47078e+06,5.0331e+06,1.42398e+06
4.1,0,-2.32016e+06,6.32067e+06,3.45154e+06
4.1,1,-3.43552e+06,6.29474e+06,2.41715e+06
4.1,2,-4.41218e+06,6.01445e+06,1.28498e+06
4.1,3,-3.01511e+06,6.14176e+06,3.23107e+06
4.1,4,-4.09475e+06,5.9828e+06,2.17102e+06
4.1,5,-5.00905e+06,5.58209e+06,1.02315e+06
4.1,6,-3.0908e+06,5.94e+06,3.52262e+06
4.1,7,-4.71698e+06,5.59832e+06,1.92049e+06
4.1,8,-3.99891e+06,5.63251e+06,3.08844e+06
4.1,9,-5.4743e+06,5.03085e+06,1.41845e+06
5.1,0,-2.32527e+06,6.32132e+06,3.44691e+06
5.1,1,-3.44007e+06,6.29426e+06,2.41195e+06
5.1,2,-4.41599e+06,6.01284e+06,1.27942e+06
5.1,3,-3.02013e+06,6.14181e+06,3.22629e+06
5.1,4,-4.0991e+06,5.98176e+06,2.16572e+06
5.1,5,-5.01254e+06,5.57999e+06,1.01754e+06
5.1,6,-3.096e+06,5.94002e+06,3.51804e+06
5.1,7,-4.72105e+06,5.59675e+06,1.9151e+06
5.1,8,-4.00379e+06,5.63172e+06,3.08358e+06
5.1,9,-5.47782e+06,5.02859e+06,1.41292e+06
6.1,0,-2.33038e+06,6.32197e+06,3.44228e+06
6.1,1,-3.44462e+06,6.29377e+06,2.40675e+06
6.1,2,-4.4198e+06,6.01123e+06,1.27386e+06
6.1,3,-3.02515e+06,6.14186e+06,3.22151e+06
6.1,4,-4.10343e+06,5.98071e+06,2.16042e+06
6.1,5,-5.01603e+06,5.57789e+06,1.01193e+06
6.1,6,-3.10119e+06,5.94003e+06,3.51346e+06
6.1,7,-4.72511e+06,5.59517e+06,1.90971e+06
6.1,8,-4.00866e+06,5.63093e+06,3.07872e+06
6.1,9,-5.48133e+06,5.02632e+06,1.40739e+06
7.1,0,-2.33548e+06,6.32262e+06,3.43764e+06
7.1,1,-3.44917e+06,6.29327e+06,2.40154e+06
7.1,2,-4.42361e+06,6.00961e+06,1.2683e+06
7.1,3,-3.03016e+06,6.1419e+06,3.21673e+06
7.1,4,-4.10777e+06,5.97965e+06,2.15512e+06
7.1,5,-5.01951e+06,5.57578e+06,1.00632e+06
7.1,6,-3.10638e+06,5.94004e+06,3.50887e+06
7.1,7,-4.72917e+06,5.59359e+06,1.90432e+06
7.1,8,-4.01352e+06,5.63013e+06,3.07385e+06
7.1,9,-5.48483e+06,5.02406e+06,1.40186e+06
8.1,0,-2.34059e+06,6.32326e+06,3.433e+06
8.1,1,-3.45372e+06,6.29277e+06,2.39634e+06
8.1,2,-4.42741e+06,6.00799e+06,1.26273e+06
8.1,3,-3.03517e+06,6.14194e+06,3.21195e+06
8.1,4,-4.1121e+06,5.9786e+06,2.14981e+06
8.1,5,-5.02298e+06,5.57367e+06,1.00071e+06
8.1,6,-3.11157e+06,5.94004e+06,3.50428e+06
8.1,7,-4.73322e+06,5.592e+06,1.89893e+06
8.1,8,-4.01839e+06,5.62932e+06,3.06898e+06
8.1,9,-5.48833e+06,5.02178e+06,1.39633e+06
9.1,0,-2.34569e+06,6.3239e+06,3.42836e+06
9.1,1,-3.45826e+06,6.29227e+06,2.39113e+06
9.1,2,-4.43121e+06,6.00637e+06,1.25717e+06
9.1,3,-3.04018e+06,6.14197e+06,3.20716e+06
9.1,4,-4.11643e+06,5.97753e+06,2.1445e+06
9.1,5,-5.02646e+06,5.57155e+06,995098
9.1,6,-3.11676e+06,5.94004e+06,3.49968e+06
9.1,7,-4.73727e+06,5.59041e+06,1.89353e+06
9.1,8,-4.02325e+06,5.62852e+06,3.06411e+06
9.1,9,-5.49183e+06,5.01951e+06,1.39079e+06
10.1,0,-2.35079e+06,6.32453e+06,3.42371e+06
10.1,1,-3.4628e+06,6.29176e+06,2.38592e+06
10.1,2,-4.43501e+06,6.00474e+06,1.25161e+06
10.1,3,-3.04519e+06,6.142e+06,3.20237e+06
10.1,4,-4.12075e+06,5.97646e+06,2.13919e+06
10.1,5,-5.02992e+06,5.56943e+06,989484
10.1,6,-3.12194e+06,5.94003e+06,3.49509e+06
10.1,7,-4.74132e+06,5.58882e+06,1.88814e+06
10.1,8,-4.0281e+06,5.62771e+06,3.05923e+06
10.1,9,-5.49532e+06,5.01723e+06,1.38526e+06
11.1,0,-2.35589e+06,6.32516e+06,3.41906e+06
11.1,1,-3.46734e+06,6.29124e+06,2.3807e+06
11.1,2,-4.4388e+06,6.0031e+06,1.24604e+06
11.1,3,-3.05019e+06,6.14202e+06,3.19758e+06
11.1,4,-4.12507e+06,5.97539e+06,2.13388e+06
11.1,5,-5.03339e+06,5.5673e+06,983870
11.1,6,-3.12712e+06,5.94002e+06,3.49049e+06
11.1,7,-4.74536e+06,5.58722e+06,1.88274e+06
11.1,8,-4.03295e+06,5.62689e+06,3.05435e+06
11.1,9,-5.49881e+06,5.01494e+06,1.37972e+06
12.1,0,-2.36098e+06,6.32578e+06,3.41441e+06
12.1,1,-3.47187e+06,6.29072e+06,2.37549e+06
12.1,2,-4.44259e+06,6.00146e+06,1.24047e+06
12.1,3,-3.05519e+06,6.14204e+06,3.19278e+06
12.1,4,-4.12939e+06,5.97431e+06,2.12857e+06
12.1,5,-5.03685e+06,5.56517e+06,978255
12.1,6,-3.1323e+06,5.94001e+06,3.48588e+06
12.1,7,-4.74939e+06,5.58561e+06,1.87734e+06
12.1,8,-4.0378e+06,5.62607e+06,3.04947e+06
12.1,9,-5.50229e+06,5.01265e+06,1.37418e+06
13.1,0,-2.36608e+06,6.3264e+06,3.40975e+06
13.1,1,-3.4764e+06,6.2902e+06,2.37027e+06
13.1,2,-4.44637e+06,5.99982e+06,1.2349e+06
13.1,3,-3.06019e+06,6.14205e+06,3.18798e+06
13.1,4,-4.13371e+06,5.97323e+06,2.12325e+06
13.1,5,-5.0403e+06,5.56304e+06,972639
13.1,6,-3.13747e+06,5.93999e+06,3.48128e+06
13.1,7,-4.75343e+06,5.58401e+06,1.87194e+06
13.1,8,-4.04265e+06,5.62524e+06,3.04459e+06
13.1,9,-5.50577e+06,5.01036e+06,1.36864e+06
14.1,0,-2.37117e+06,6.32701e+06,3.40509e+06
14.1,1,-3.48093e+06,6.28967e+06,2.36505e+06
14.1,2,-4.45015e+06,5.99816e+06,1.22933e+06
14.1,3,-3.06519e+06,6.14206e+06,3.18318e+06
14.1,4,-4.13802e+06,5.97214e+06,2.11794e+06
14.1,5,-5.04375e+06,5.5609e+06,967022
14.1,6,-3.14264e+06,5.93996e+06,3.47666e+06
14.1,7,-4.75746e+06,5.58239e+06,1.86653e+06
14.1,8,-4.04749e+06,5.62442e+06,3.0397e+06
14.1,9,-5.50924e+06,5.00806e+06,1.3631e+06
15.1,0,-2.37626e+06,6.32761e+06,3.40043e+06
15.1,1,-3.48545e+06,6.28913e+06,2.35983e+06
15.1,2,-4.45393e+06,5.99651e+06,1.22376e+06
15.1,3,-3.07018e+06,6.14206e+06,3.17837e+06
15.1,4,-4.14232e+06,5.97105e+06,2.11262e+06
15.1,5,-5.0472e+06,5.55876e+06,961404
15.1,6,-3.14781e+06,5.93993e+06,3.47205e+06
15.1,7,-4.76148e+06,5.58078e+06,1.86113e+06
15.1,8,-4.05233e+06,5.62358e+06,3.03481e+06
15.1,9,-5.51271e+06,5.00576e+06,1.35756e+06
16.1,0,-2.38134e+06,6.32822e+06,3.39576e+06
16.1,1,-3.48997e+06,6.28859e+06,2.3546e+06
16.1,2,-4.4577e+06,5.99485e+06,1.21819e+06
16.1,3,-3.07517e+06,6.14206e+06,3.17357e+06
16.1,4,-4.14662e+06,5.96995e+06,2.1073e+06
16.1,5,-5.05064e+06,5.55661e+06,955785
16.1,6,-3.15298e+06,5.9399e+06,3.46743e+06
16.1,7,-4.7655e+06,5.57915e+06,1.85572e+06
16.1,8,-4.05716e+06,5.62274e+06,3.02992e+06
16.1,9,-5.51617e+06,5.00346e+06,1.35202e+06
17.1,0,-2.38643e+06,6.32881e+06,3.39109e+06
17.1,1,-3.49449e+06,6.28804e+06,2.34938e+06
17.1,2,-4.46147e+06,5.99318e+06,1.21262e+06
17.1,3,-3.08015e+06,6.14206e+06,3.16875e+06
17.1,4,-4.15092e+06,5.96885e+06,2.10197e+06
17.1,5,-5.05408e+06,5.55446e+06,950165
17.1,6,-3.15814e+06,5.93986e+06,3.46281e+06
17.1,7,-4.76952e+06,5.57753e+06,1.85031e+06
17.1,8,-4.06199e+06,5.6219e+06,3.02502e+06
17.1,9,-5.51963e+06,5.00115e+06,1.34647e+06
18.1,0,-2.39151e+06,6.3294e+06,3.38642e+06
18.1,1,-3.49901e+06,6.28749e+06,2.34415e+06
18.1,2,-4.46524e+06,5.99151e+06,1.20705e+06
18.1,3,-3.08514e+06,6.14205e+06,3.16394e+06
18.1,4,-4.15522e+06,5.96774e+06,2.09665e+06
18.1,5,-5.05751e+06,5.5523e+06,944544
18.1,6,-3.1633e+06,5.93981e+06,3.45819e+06
18.1,7,-4.77353e+06,5.5759e+06,1.8449e+06
18.1,8,-4.06682e+06,5.62105e+06,3.02012e+06
18.1,9,-5.52309e+06,4.99884e+06,1.34093e+06
19.1,0,-2.39659e+06,6.32999e+06,3.38175e+06
19.1,1,-3.50352e+06,6.28694e+06,2.33892e+06
19.1,2,-4.469e+06,5.98984e+06,1.20147e+06
19.1,3,-3.09012e+06,6.14203e+06,3.15912e+06
19.1,4,-4.15951e+06,5.96663e+06,2.09132e+06
19.1,5,-5.06094e+06,5.55014e+06,938923
19.1,6,-3.16846e+06,5.93977e+06,3.45356e+06
19.1,7,-4.77754e+06,5.57426e+06,1.83949e+06
19.1,8,-4.07164e+06,5.6202e+06,3.01522e+06
19.1,9,-5.52654e+06,4.99652e+06,1.33538e+06
20.1,0,-2.40166e+06,6.33057e+06,3.37707e+06
20.1,1,-3.50803e+06,6.28638e+06,2.33368e+06
20.1,2,-4.47276e+06,5.98816e+06,1.19589e+06
20.1,3,-3.0951e+06,6.14201e+06,3.1543e+06
20.1,4,-4.1638e+06,5.96552e+06,2.08599e+06
20.1,5,-5.06437e+06,5.54797e+06,933301
20.1,6,-3.17361e+06,5.93971e+06,3.44894e+06
20.1,7,-4.78155e+06,5.57262e+06,1.83408e+06
20.1,8,-4.07646e+06,5.61935e+06,3.01032e+06
20.1,9,-5.52998e+06,4.9942e+06,1.32983e+06
21.1,0,-2.40674e+06,6.33115e+06,3.37239e+06
21.1,1,-3.51253e+06,6.28581e+06,2.32845e+06
21.1,2,-4.47651e+06,5.98647e+06,1.19032e+06
21.1,3,-3.10007e+06,6.14198e+06,3.14948e+06
21.1,4,-4.16808e+06,5.9644e+06,2.08066e+06
21.1,5,-5.06779e+06,5.5458e+06,927678
21.1,6,-3.17876e+06,5.93966e+06,3.4443e+06
21.1,7,-4.78555e+06,5.57098e+06,1.82866e+06
21.1,8,-4.08128e+06,5.61849e+06,3.00541e+06
21.1,9,-5.53342e+06,4.99187e+06,1.32428e+06
22.1,0,-2.41181e+06,6.33172e+06,3.3677e+06
22.1,1,-3.51704e+06,6.28524e+06,2.32321e+06
22.1,2,-4.48026e+06,5.98478e+06,1.18474e+06
22.1,3,-3.10504e+06,6.14195e+06,3.14466e+06
22.1,4,-4.17236e+06,5.96327e+06,2.07533e+06
22.1,5,-5.07121e+06,5.54362e+06,922053
22.1,6,-3.18391e+06,5.93959e+06,3.43967e+06
22.1,7,-4.78954e+06,5.56933e+06,1.82324e+06
22.1,8,-4.08609e+06,5.61762e+06,3.0005e+06
22.1,9,-5.53686e+06,4.98954e+06,1.31873e+06
23.1,0,-2.41688e+06,6.33228e+06,3.36301e+06
23.1,1,-3.52153e+06,6.28466e+06,2.31797e+06
23.1,2,-4.48401e+06,5.98309e+06,1.17916e+06
23.1,3,-3.11001e+06,6.14192e+06,3.13983e+06
23.1,4,-4.17664e+06,5.96214e+06,2.07e+06
23.1,5,-5.07462e+06,5.54144e+06,916429
23.1,6,-3.18905e+06,5.93953e+06,3.43503e+06
23.1,7,-4.79353e+06,5.56767e+06,1.81782e+06
23.1,8,-4.0909e+06,5.61675e+06,2.99559e+06
23.1,9,-5.54029e+06,4.98721e+06,1.31318e+06
24.1,0,-2.42195e+06,6.33284e+06,3.35832e+06
24.1,1,-3.52603e+06,6.28408e+06,2.31273e+06
24.1,2,-4.48775e+06,5.98139e+06,1.17358e+06
24.1,3,-3.11498e+06,6.14188e+06,3.135e+06
24.1,4,-4.18091e+06,5.961e+06,2.06466e+06
24.1,5,-5.07803e+06,5.53926e+06,910803
24.1,6,-3.1942e+06,5.93945e+06,3.43039e+06
24.1,7,-4.79752e+06,5.56601e+06,1.8124e+06
24.1,8,-4.09571e+06,5.61588e+06,2.99068e+06
24.1,9,-5.54371e+06,4.98487e+06,1.30763e+06
25.1,0,-2.42702e+06,6.3334e+06,3.35363e+06
25.1,1,-3.53052e+06,6.2835e+06,2.30749e+06
25.1,2,-4.49149e+06,5.97969e+06,1.168e+06
