time,bytes_rx
1,0
2,0
3,0
4,747520
5,788480
6,788480
7,788480
8,793600
9,886784
10,984064
11,1036288
12,1003520
13,978944
14,944128
15,964608
16,931840
17,995328
18,909312
19,910336
20,829440
21,865280
22,785408
23,700416
24,567296
25,498688
26,366592
27,299008
28,194560
29,194560
30,194560
31,194560
32,194560
33,202752
34,342016
35,375808
36,368640
37,380928
38,388096
39,390144
40,392192
41,394240
42,393216
43,392192
44,386048
45,385024
46,384000
47,379904
48,379904
49,378880
50,378880
51,379904
52,376832
53,379904
54,433152
55,624640
56,566272
57,588800
58,519168
59,654336
60,669696
61,678912
62,761856
63,901120
64,1006592
65,1092608
66,1070080
67,1197056
68,1188864
69,1188864
70,1193984
71,1211392
72,1325056
73,1113088
74,1227776
75,1270784
76,1158144
77,1264640
78,1154048
79,1379328
80,1538048
81,1575936
82,1605632
83,1382400
84,1515520
85,1508352
86,1426432
87,1156096
88,940032
89,1024000
90,831488
91,718848
92,646144
93,599040
94,545792
95,403456
96,400384
97,399360
98,399360
99,397312
100,395264
101,466944
102,406528
103,476160
104,464896
105,573440
106,382976
107,329728
108,324608
109,348160
110,375808
111,340992
112,354304
113,331776
114,357376
115,254976
116,259072
117,372736
118,437248
119,479232
120,480256
121,483328
122,483328
123,482304
124,475136
125,479232
126,477184
127,493568
128,634880
129,833536
130,944128
131,1197056
132,1231872
133,1241088
134,1220608
135,1357824
136,1356800
137,1264640
138,1286144
139,1355776
140,1357824
141,1326080
142,1309696
143,1271808
144,1263616
145,1257472
146,1238016
147,1212416
148,1209344
149,1209344
150,1214464
151,1214464
152,1215488
153,1231872
154,1271808
155,1290240
156,1586176
157,1472512
158,1302528
159,1222656
160,1228800
161,1108992
162,1017856
163,842752
