time_sec,rx_power_watts
0.0644316,1.57e-20
0.0695101,1.5781e-20
0.114402,1.53464e-20
0.164395,1.19929e-20
0.169505,1.17105e-20
0.214428,9.27937e-21
0.264421,8.03521e-21
0.26953,7.7645e-21
0.314422,6.93443e-21
0.364415,5.63191e-21
0.369494,5.35392e-21
0.414448,5.17863e-21
0.464441,5.49241e-21
0.46952,5.79568e-21
0.514412,7.64124e-21
0.564405,9.19505e-21
0.569514,9.4811e-21
0.614437,1.03146e-20
0.66443,8.28498e-21
0.669509,8.13383e-21
0.714432,8.19978e-21
0.764425,7.10747e-21
0.769503,7.03459e-21
0.814458,6.7547e-21
0.864451,6.34308e-21
0.869498,6.1867e-21
0.914421,5.8855e-21
0.964414,6.53874e-21
0.969524,6.5261e-21
1.01445,7.50524e-21
1.06444,9.89087e-21
1.06949,1.01316e-20
1.11444,9.80764e-21
1.16443,9.06988e-21
1.16951,9.27177e-21
1.21444,8.31002e-21
1.26446,8.03357e-21
1.26951,7.86685e-21
1.31446,7.49191e-21
1.36445,6.70763e-21
1.3695,6.71174e-21
1.41443,7.32644e-21
1.46445,7.53891e-21
1.4695,7.57241e-21
1.51445,8.5453e-21
1.56444,1.05767e-20
1.56952,1.03306e-20
1.61445,1.03707e-20
1.66447,9.92578e-21
1.66952,1.01351e-20
1.71447,9.26706e-21
1.76446,7.93816e-21
1.76951,8.06073e-21
1.81443,6.82799e-21
1.86446,6.58835e-21
1.86951,6.61701e-21
1.91446,5.56516e-21
1.96445,5.18268e-21
1.9695,5.92359e-21
2.01446,8.36925e-21
2.06448,9.74086e-21
2.06953,9.98899e-21
2.11448,1.01978e-20
2.16447,9.05753e-21
2.16949,9.09295e-21
2.21444,7.75744e-21
2.26444,6.59747e-21
2.26952,7.04623e-21
2.31447,7.3229e-21
2.36446,6.67103e-21
2.36951,7.02772e-21
2.41446,8.94384e-21
2.46446,9.41749e-21
2.46951,9.7486e-21
2.51449,9.83783e-21
2.56448,8.9859e-21
2.5695,8.89127e-21
2.61445,9.9424e-21
2.66448,8.94429e-21
2.66953,8.58246e-21
2.71448,8.97497e-21
2.76447,1.04362e-20
2.76952,1.03739e-20
2.81447,9.67689e-21
2.86447,8.08524e-21
2.86952,7.74034e-21
