time_sec,sinr_db
0.0615532,7.6294
0.0629667,6.31489
0.0644805,6.06936
0.0647095,3.56998
0.0647501,2.04396
0.0666317,7.63048
0.0680451,6.31292
0.0695589,6.06767
0.069788,3.57181
0.0698286,2.0457
0.111524,7.64019
0.112937,6.29516
0.114451,6.05249
0.11468,3.58819
0.114721,2.06132
0.161517,7.65093
0.16293,6.27534
0.164444,6.03552
0.164673,3.60632
0.164714,2.07863
0.166627,7.652
0.16804,6.27335
0.169553,6.03382
0.169783,3.60813
0.169823,2.08036
0.211551,7.66162
0.212963,6.25541
0.214476,6.01844
0.214706,3.62438
0.214746,2.0959
0.261544,7.67226
0.262956,6.23537
0.264469,6.00124
0.264699,3.64236
0.264739,2.11311
0.266654,7.67332
0.268066,6.23337
0.269579,5.99952
0.269809,3.64416
0.269849,2.11483
0.311546,7.68284
0.312958,6.21523
0.314471,5.98394
0.314701,3.66028
0.314741,2.13028
0.361539,7.69338
0.362951,6.19498
0.364464,5.96653
0.364694,3.67812
0.364734,2.1474
0.366618,7.69443
0.36803,6.19295
0.369542,5.96478
0.369772,3.6799
0.369812,2.14911
0.411572,7.70387
0.412984,6.17463
0.414496,5.94899
0.414727,3.6959
0.414767,2.16447
0.461566,7.71431
0.462977,6.15416
0.464489,5.93135
0.46472,3.7136
0.46476,2.1815
0.466644,7.71535
0.468056,6.15211
0.469568,5.92958
0.469798,3.71537
0.469838,2.1832
0.511537,7.7247
0.512948,6.13358
0.51446,5.91359
0.51469,3.73124
0.51473,2.19847
0.56153,7.73504
0.562941,6.11289
0.564453,5.89571
0.564683,3.7488
0.564723,2.21541
0.56664,7.73607
0.56805,6.11081
0.569562,5.89392
0.569793,3.75055
0.569833,2.2171
0.611563,7.74533
0.612974,6.09209
0.614485,5.87772
0.614716,3.7663
0.614756,2.23229
0.661557,7.75557
0.662967,6.07117
0.664478,5.8596
0.664709,3.78373
0.664749,2.24913
0.666635,7.75659
0.668045,6.06907
0.669557,5.85779
0.669788,3.78547
0.669827,2.25082
0.711559,7.76576
0.712968,6.05014
0.71448,5.84137
0.714711,3.80109
0.71475,2.26593
0.761552,7.77591
0.762962,6.02899
0.764473,5.82302
0.764704,3.81839
0.764744,2.28268
0.766631,7.77692
0.76804,6.02687
0.769551,5.82117
0.769782,3.82011
0.769822,2.28435
0.811585,7.78601
0.812994,6.00772
0.814505,5.80454
0.814737,3.83562
0.814776,2.29939
0.861579,7.79607
0.862988,5.98633
0.864498,5.78593
0.86473,3.85278
0.864769,2.31604
0.866626,7.79707
0.868035,5.98419
0.869546,5.78407
0.869777,3.85449
0.869817,2.31771
0.91155,7.80607
0.912958,5.96483
0.914469,5.76721
0.9147,3.86988
0.91474,2.33266
0.961543,7.81603
0.962951,5.9432
0.964461,5.74835
0.964693,3.88691
0.964733,2.34923
0.966653,7.81703
0.968061,5.94103
0.969571,5.74646
0.969803,3.88861
0.969842,2.35089
1.01158,7.82595
1.01298,5.92145
1.01449,5.72937
1.01473,3.90388
1.01477,2.36576
1.06157,7.83582
1.06298,5.89958
1.06449,5.71026
1.06472,3.92079
1.06476,2.38224
1.06662,7.8368
1.06802,5.89738
1.06953,5.70834
1.06977,3.92247
1.06981,2.38389
1.11157,7.84564
1.11298,5.87757
1.11449,5.69102
1.11472,3.93763
1.11476,2.39868
1.16156,7.85542
1.16297,5.85545
1.16448,5.67165
1.16471,3.95441
1.16475,2.41508
1.16664,7.8564
1.16805,5.85323
1.16956,5.6697
1.16979,3.95609
1.16983,2.41672
1.21157,7.86515
1.21297,5.83319
1.21448,5.65214
1.21472,3.97113
1.21475,2.43143
1.26159,7.87484
1.263,5.81081
1.26451,5.6325
1.26474,3.98778
1.26478,2.44774
1.26664,7.87581
1.26805,5.80857
1.26955,5.63053
1.26979,3.98945
1.26983,2.44937
1.31159,7.88449
1.313,5.7883
1.31451,5.61272
1.31474,4.00438
1.31478,2.46401
1.36159,7.89409
1.36299,5.76565
1.3645,5.59281
1.36473,4.02091
1.36477,2.48024
1.36663,7.89505
1.36804,5.76338
1.36955,5.59081
1.36978,4.02256
1.36982,2.48186
1.41156,7.90365
1.41296,5.74287
1.41447,5.57276
1.41471,4.03739
1.41474,2.49642
1.46158,7.91316
1.46299,5.71995
1.4645,5.55256
1.46473,4.0538
1.46477,2.51256
1.46663,7.91411
1.46804,5.71765
1.46954,5.55053
1.46978,4.05544
1.46982,2.51417
1.51158,7.92263
1.51299,5.6969
1.5145,5.53223
1.51473,4.07015
1.51477,2.52866
1.56158,7.93206
1.56298,5.67371
1.56449,5.51175
1.56472,4.08645
1.56476,2.54472
1.56666,7.933
1.56806,5.67138
1.56957,5.50969
1.5698,4.08807
1.56984,2.54632
1.61158,7.94144
1.61298,5.65038
1.61449,5.49122
1.61473,4.10269
1.61476,2.56104
1.6616,7.95693
1.66301,5.63155
1.66452,5.47436
1.66475,4.11912
1.66479,2.58867
1.66665,7.9585
1.66806,5.62967
1.66956,5.47267
1.6698,4.12076
1.66984,2.59142
1.71161,7.97255
1.71301,5.61273
1.71452,5.45744
1.71475,4.13546
1.71479,2.61617
1.7616,7.98808
1.763,5.59387
1.76451,5.44046
1.76474,4.15171
1.76478,2.64354
1.76665,7.98962
1.76805,5.59198
1.76956,5.43876
1.76979,4.15333
1.76983,2.64627
1.81157,8.00352
1.81297,5.57496
1.81448,5.42342
1.81472,4.16787
1.81475,2.67078
1.8616,8.01887
1.863,5.55601
1.8645,5.40632
1.86474,4.18394
1.86478,2.6979
1.86664,8.0204
1.86805,5.55411
1.86955,5.40461
1.86979,4.18554
1.86983,2.7006
1.9116,8.03414
1.913,5.537
1.91451,5.38916
1.91474,4.19991
1.91478,2.72489
1.96159,8.04932
1.96299,5.51796
1.9645,5.37194
1.96473,4.2158
1.96477,2.75176
1.96664,8.05083
1.96804,5.51605
1.96955,5.37021
1.96978,4.21739
1.96982,2.75444
2.01159,8.06442
2.01299,5.49886
2.0145,5.35465
2.01474,4.23161
2.01477,2.7785
2.02501,5.49427
2.02652,5.35049
2.02679,2.7849
2.06159,8.07943
2.063,5.47972
2.0645,5.3373
2.06474,4.24732
2.06478,2.80512
2.06667,8.08093
2.06808,5.47781
2.06958,5.33557
2.06982,4.24889
2.06985,2.80778
2.1116,8.09436
2.113,5.46053
2.1145,5.31989
2.11474,4.26295
2.11478,2.83163
2.16162,8.10921
2.16302,5.4413
2.16453,5.30242
2.16476,4.2785
2.1648,2.85801
2.16664,8.11069
2.16804,5.43937
2.16954,5.30067
2.16978,4.28005
2.16982,2.86064
2.21159,8.12397
2.21191,8.12397
2.21299,5.42201
2.21331,5.42201
2.2145,5.28488
2.21473,4.29395
2.21477,2.88427
2.21482,5.28488
2.21505,4.29395
2.21509,2.88427
2.26159,8.13866
2.26299,5.40268
2.2645,5.26728
2.26474,4.30933
2.26477,2.91042
2.26664,8.14012
2.26804,5.40075
2.26955,5.26552
2.26978,4.31086
2.26982,2.91303
2.3116,8.15326
2.313,5.3833
2.3145,5.24962
2.31474,4.32462
2.31477,2.93646
2.36159,8.16779
2.36299,5.36387
2.36449,5.23188
2.36473,4.33983
2.36477,2.96237
2.36667,8.16924
2.36807,5.36192
2.36957,5.23011
2.36981,4.34135
2.36985,2.96496
2.41162,8.18224
2.41194,8.18224
2.41302,5.34439
2.41334,5.344
2.41453,5.21409
2.41476,4.35496
2.4148,2.98818
2.41508,4.35496
2.46162,8.19661
2.46302,5.32486
2.46453,5.19622
2.46476,4.37
2.4648,3.01387
2.46664,8.19804
2.46804,5.32291
2.46954,5.19443
2.46978,4.3715
2.46982,3.01643
2.5116,8.2109
2.51299,5.30528
2.5145,5.17829
2.51474,4.38497
2.51477,3.03945
2.56159,8.22511
2.56299,5.28565
2.56449,5.1603
2.56473,4.39985
2.56477,3.06492
2.56664,8.22653
2.56804,5.28369
2.56954,5.15849
2.56978,4.40134
2.56981,3.06746
2.61162,8.23925
2.61194,8.23925
2.61302,5.26598
2.61334,5.26558
2.61452,5.14223
2.61476,4.41466
2.6148,3.09028
2.61508,4.41466
2.66162,8.25331
2.66302,5.24625
2.66453,5.1241
2.66476,4.42939
2.6648,3.11553
2.66667,8.25472
2.66807,5.24427
2.66957,5.12228
2.66981,4.43086
2.66985,3.11805
2.71163,8.2673
2.71302,5.22647
2.71453,5.1059
2.71476,4.44404
2.7148,3.14068
2.76162,8.28122
2.76302,5.20664
2.76452,5.08762
2.76476,4.45861
2.76479,3.16572
2.76667,8.2826
2.76806,5.20465
2.76957,5.08579
2.76981,4.46006
2.76984,3.16821
2.81162,8.29505
2.81194,8.29505
2.81302,5.18689
2.81334,5.1865
2.81452,5.0694
2.81476,4.47267
2.8148,3.19073
2.81508,4.47267
2.86162,8.30878
2.86302,5.16752
2.86452,5.05136
2.86476,4.48561
2.8648,3.21581
2.86664,8.31015
2.86804,5.16558
2.86954,5.04955
2.86978,4.4869
2.86981,3.21831
2.91162,8.32243
2.91302,5.14809
2.91452,5.03323
2.91476,4.49853
2.9148,3.24076
2.96162,8.33602
2.96302,5.12862
2.96452,5.015
2.96476,4.51142
2.96479,3.26559
2.96667,8.33737
2.96806,5.12667
2.96956,5.01317
2.9698,4.51271
2.96984,3.26806
3.01165,8.34953
3.01197,8.34953
3.01305,5.10911
3.01337,5.10871
3.01455,4.99668
3.01479,4.52429
3.01482,3.29029
3.01511,4.52429
3.06165,8.36296
3.06305,5.08954
