time,ut_id,visible_count,closest_sat_id,distance_km
0.1,12,5,0,1416.38
0.1,14,4,0,1481
0.1,16,6,1,1259.05
0.1,18,4,1,1536.95
0.1,20,7,1,1287.24
1.1,12,5,0,1413.5
1.1,14,4,0,1478.18
1.1,16,6,1,1259.95
1.1,18,4,1,1539.58
1.1,20,7,1,1284.94
2.1,12,4,0,1410.63
2.1,14,4,0,1475.37
2.1,16,6,1,1260.88
2.1,18,4,1,1542.23
2.1,20,7,1,1282.65
3.1,12,4,0,1407.79
3.1,14,4,0,1472.59
3.1,16,6,1,1261.84
3.1,18,4,1,1544.9
3.1,20,7,1,1280.4
4.1,12,4,0,1404.97
4.1,14,4,0,1469.82
4.1,16,6,1,1262.82
4.1,18,4,0,1544.14
4.1,20,7,1,1278.17
5.1,12,4,0,1402.18
5.1,14,4,0,1467.08
5.1,16,6,1,1263.85
5.1,18,4,0,1541.16
5.1,20,7,1,1275.97
6.1,12,4,0,1399.41
6.1,14,4,0,1464.37
6.1,16,6,1,1264.9
6.1,18,4,0,1538.2
6.1,20,7,1,1273.8
7.1,12,4,0,1396.66
7.1,14,4,0,1461.67
7.1,16,6,1,1265.98
7.1,18,4,0,1535.26
7.1,20,7,1,1271.66
8.1,12,4,0,1393.93
8.1,14,4,0,1459
8.1,16,6,1,1267.09
8.1,18,4,0,1532.34
8.1,20,7,1,1269.54
9.1,12,4,0,1391.23
9.1,14,4,0,1456.34
9.1,16,6,1,1268.24
9.1,18,4,0,1529.44
9.1,20,7,1,1267.46
10.1,12,4,0,1388.55
10.1,14,4,0,1453.72
10.1,16,6,1,1269.41
10.1,18,4,0,1526.56
10.1,20,7,1,1265.4
11.1,12,4,0,1385.9
11.1,14,4,0,1451.11
11.1,16,6,1,1270.62
11.1,18,4,0,1523.7
11.1,20,7,1,1263.37
12.1,12,4,0,1383.27
12.1,14,4,0,1448.53
12.1,16,6,1,1271.85
12.1,18,4,0,1520.86
12.1,20,7,1,1261.37
13.1,12,4,0,1380.66
13.1,14,4,0,1445.97
13.1,16,6,1,1273.12
13.1,18,4,0,1518.05
13.1,20,7,1,1259.4
14.1,12,4,0,1378.08
14.1,14,4,0,1443.43
14.1,16,6,1,1274.42
14.1,18,4,0,1515.25
14.1,20,7,1,1257.45
15.1,12,4,0,1375.52
15.1,14,4,0,1440.92
15.1,16,6,1,1275.74
15.1,18,4,0,1512.48
15.1,20,7,1,1255.54
16.1,12,4,0,1372.99
16.1,14,4,0,1438.43
16.1,16,6,1,1277.1
16.1,18,4,0,1509.72
16.1,20,7,1,1253.65
17.1,12,4,0,1370.48
17.1,14,4,0,1435.96
17.1,16,6,1,1278.49
17.1,18,4,0,1506.99
17.1,20,7,1,1251.8
18.1,12,4,0,1368
18.1,14,4,0,1433.52
18.1,16,6,1,1279.91
18.1,18,4,0,1504.28
18.1,20,7,1,1249.97
19.1,12,4,0,1365.54
19.1,14,4,0,1431.1
19.1,16,6,1,1281.35
19.1,18,4,0,1501.59
19.1,20,7,1,1248.18
20.1,12,4,0,1363.1
20.1,14,4,0,1428.7
20.1,16,6,1,1282.83
20.1,18,4,0,1498.93
20.1,20,7,1,1246.41
21.1,12,4,0,1360.69
21.1,14,4,0,1426.33
21.1,16,6,1,1284.34
21.1,18,4,0,1496.28
21.1,20,7,1,1244.68
22.1,12,4,0,1358.31
22.1,14,4,0,1423.98
22.1,16,6,1,1285.87
22.1,18,4,0,1493.66
22.1,20,7,1,1242.97
23.1,12,4,0,1355.95
23.1,14,4,0,1421.66
23.1,16,6,1,1287.44
23.1,18,4,0,1491.06
23.1,20,7,1,1241.29
24.1,12,4,0,1353.62
24.1,14,4,0,1419.36
24.1,16,6,1,1289.03
24.1,18,4,0,1488.48
24.1,20,7,1,1239.65
25.1,12,4,0,1351.31
25.1,14,4,0,1417.09
25.1,16,6,1,1290.66
25.1,18,4,0,1485.92
25.1,20,7,1,1238.03
26.1,12,4,0,1349.03
26.1,14,4,0,1414.84
26.1,16,6,1,1292.31
26.1,18,4,0,1483.39
26.1,20,7,1,1236.45
27.1,12,4,0,1346.77
27.1,14,4,0,1412.61
27.1,16,6,1,1293.99
27.1,18,4,0,1480.88
27.1,20,7,1,1234.89
28.1,12,4,0,1344.54
28.1,14,4,0,1410.41
28.1,16,6,1,1295.7
28.1,18,4,0,1478.39
28.1,20,7,1,1233.37
29.1,12,4,0,1342.34
29.1,14,4,0,1408.24
29.1,16,6,1,1297.44
29.1,18,4,0,1475.92
